a52dec 0.7.4-9
python2-pexpect 4.3.1-1
python2-pickleshare 0.7.4-3
python2-prompt_toolkit 1.0.15-1
python2-ptyprocess 0.5.2-1
python2-pygments 2.2.0-1
python2-pyparsing 2.2.0-1
python2-pyx 0.12.1-2
python2-setuptools 1:38.5.1-1
python2-six 1.11.0-1
python2-traitlets 4.3.2-1
python2-urwid 2.0.1-1
python2-wcwidth 0.1.7-2
qpdf 7.1.1-1
qt4 4.8.7-23
qt5-base 5.10.1-2
qt5-multimedia 5.10.1-1
qt5-svg 5.10.1-1
qt5-x11extras 5.10.1-1
ranger 1.9.1-1
readline 7.0.003-1
reiserfsprogs 3.6.27-1
rest 0.8.1-1
rofi 1.5.0-2
rtkit 0.11+8+ge0a51fe-1
rtorrent 0.9.6-3
ruby 2.5.0-4
run-parts 4.8.4-1
rust 1:1.24.0-1
s-nail 14.9.7-1
sbc 1.3-1
scapy 2.3.3-1
schroedinger 1.0.11-3
scrot 0.8.17-2
sdl 1.2.15-9
sdl2 2.0.7-1
sdl_image 1.2.12-4
sed 4.4-1
shadow 4.5-4
shared-mime-info 1.9-1
sound-theme-freedesktop 0.8-2
speex 1.2.0-1
speexdsp 1.2rc3-2
sqlite 3.22.0-1
squashfs-tools 4.3-4
startup-notification 0.12-5
strace 4.21-1
sudo 1.8.22-1
sysfsutils 2.1.0-9
systemd 237.64-1
systemd-sysvcompat 237.64-1
t1lib 5.1.2-6
taglib 1.11.1-1
tar 1.30-1
tcpdump 4.9.2-1
tdb 1.3.15-1
termite 13-1
termite-terminfo 13-1
texinfo 6.5-1
texlive-bin 2017.44590-10
texlive-core 2017.45811-1
thin-provisioning-tools 0.7.5-1
tree 1.7.0-2
tslib 1.15-1
tzdata 2018c-1
unrar 1:5.5.8-1
unzip 6.0-12
uriparser 0.8.5-1
usbutils 009-1
util-linux 2.31.1-1
v4l-utils 1.14.2-1
vi 1:070224-2
vid.stab 1.1-1
vim 8.0.1531-1
vim-runtime 8.0.1531-1
virtualbox 5.2.6-2
virtualbox-guest-iso 5.2.7-1
virtualbox-host-modules-arch 5.2.6-14
